"edad","grupo_edad","genero","comunidad_autonoma","nacido_espana","tamano_municipio","nivel_estudios","situacion_laboral","sector_laboral","ingresos_hogar","religion","lengua","ideologia","participacion_2023_raw","participacion_2023_final","voto_2023_raw","voto_2023_raw_otros","voto_2023_final","prob_voto_declarada","intencion_voto_raw","intencion_voto_raw_otros","intencion_voto_simpatia","intencion_voto_final","simpatia_partido","simpatia_partido_otros","nunca_pp","nunca_psoe","nunca_vox","nunca_sumar","nunca_podemos","nunca_salf","nunca_erc","nunca_junts","nunca_pnv","nunca_bildu","nunca_cc","nunca_bng","nunca_upn","nunca_ninguno","nunca_todos","prob_voto_pp","prob_voto_psoe","prob_voto_vox","prob_voto_sumar","prob_voto_podemos","prob_voto_salf","prob_voto_erc","prob_voto_junts","prob_voto_pnv","prob_voto_bildu","prob_voto_cc","prob_voto_bng","prob_voto_upn","lider_preferido","lider_preferido_otros","norma_social_voto","interes_politico","modelo_territorial","prob_voto_estimada","peso"
28,"25-34","Hombre","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Universitaria","Trabaja","Privado","Entre 2000 y 2999 euros",,"Castellano","7","Votó","Votó","PP","","PP",9,"PP","","PP","PP",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable","Algo probable",,"Poco probable","Poco probable","Poco probable",,,,,,,,"Feijóo","","Pocos votan","Mucho","Mantener",0.896925985813141,1.1037542044986
22,"18-24","Hombre","Islas Baleares","Sí","Entre 10.000 y 49.999 habitantes","FP","Trabaja","Privado","Más de 5000 euros","Ateo/agnóstico","Castellano","2","Votó","Votó","PSOE","","PSOE",8,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Algo probable","Algo probable","Poco probable",,,,,,,,"Otro","Pedro Sánchez o Rufián","Todos votan","Poco","Mantener",0.917077898979187,1.20997331029514
21,"18-24","Hombre","Andalucía","Sí","Entre 100.000 y 500.000 habitantes","FP","Trabaja","Privado","Entre 1000 y 1999 euros","Evangélico/protestante","Castellano","6","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Poco probable",,"Poco probable","Algo probable",,,,,,,,"Ninguno","","Todos votan","Bastante","Federal",0.889897763729095,0.343210922675982
69,"+65","Hombre","Cataluña","Sí","Entre 10.000 y 49.999 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 2000 y 2999 euros","Católico no practicante","Catalán","4","Votó","Votó","PSOE","","PSOE",9,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Poco probable","Poco probable","Poco probable","Algo probable","Algo probable",,,,,,"Pedro Sánchez","","Mayoría vota","Mucho","Federal",0.920159041881561,0.838009279505446
68,"+65","Hombre","Comunidad de Madrid","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","4","Votó","Votó","Sumar","","Sumar",9,"Otros","","Sumar","Sumar","Sumar","","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Poco probable",,,,,,,,,"Pedro Sánchez","",,"Bastante","Mantener",0.945145964622498,1.73536089893538
70,"+65","Hombre","Castilla y León","Sí","Entre 100.000 y 500.000 habitantes","Secundaria/ESO","Jubilado","Autónomo","Entre 1000 y 1999 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",9,"Vox","","Vox","Vox",,"","Nunca votaría","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado",,,"Algo probable",,,"Algo probable",,,,,,,,"Abascal","","Todos votan","Bastante","Centralizado",0.97095912694931,0.334426844166663
22,"18-24","Mujer","Comunidad Valenciana","Sí","Más de 500.000 habitantes","Bachillerato","Trabaja","Autónomo","Entre 2000 y 2999 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","Nunca votaría",,,,,,,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Mantener",0.937312424182892,0.576507363039511
33,"25-34","Mujer","Cataluña","Sí","Más de 500.000 habitantes","Universitaria","Trabaja","Autónomo","Más de 5000 euros","Católico no practicante","Catalán","4","Votó","Votó","ERC","","ERC",10,"ERC","","ERC","Regionales",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Poco probable",,"Muy probable","Poco probable",,,,,,"Pedro Sánchez","","Mayoría vota","Bastante","Federal",0.936481595039368,0.482960874363757
69,"+65","Mujer","Castilla y León","Sí","Entre 100.000 y 500.000 habitantes","FP","Jubilado","Privado","Entre 3000 y 5000 euros","Católico practicante","Castellano","4","Votó","Votó","PSOE","","PSOE",10,"Otros","","Otros","Sumar","Ninguno","","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Poco probable",,"Algo probable","Poco probable","Poco probable",,,,,,,,"NS","","Mayoría vota","Bastante","Mantener",0.838934540748596,1.07061191054477
34,"25-34","Mujer","Castilla y León","Sí","Menos de 2000 habitantes","Universitaria","Trabaja","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","10 Extr. der.","Votó","Votó","PP","","PP",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable","Muy probable","Muy probable","Algo probable",,"Algo probable",,,,,,,,"Feijóo","","Todos votan","Mucho","Centralizado",0.966749012470245,0.396391921931858
71,"+65","Mujer","Castilla y León","Sí","Entre 100.000 y 500.000 habitantes","Primaria","Jubilado","Privado","Entre 1000 y 1999 euros","Ateo/agnóstico","Castellano","2","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Algo probable","Poco probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Bastante","Mantener",0.980713546276093,0.27470868658717
74,"+65","Hombre","La Rioja","Sí","Entre 100.000 y 500.000 habitantes","FP","Jubilado","Privado","Entre 2000 y 2999 euros","Católico practicante","Castellano","6","Votó","Votó","PP","","PP",9,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,"Poco probable",,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Centralizado",0.975976526737213,0.860190305637282
66,"+65","Hombre","Castilla y León","Sí","Entre 50.000 y 99.999 habitantes","Universitaria","Jubilado","Privado","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","3","Votó","Votó","PSOE","","PSOE",9,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado","Poco probable","Algo probable",,"Poco probable","Poco probable",,,,,,,,,"NS","","Todos votan","Bastante","Federal",0.918563723564148,1.14411226899896
71,"+65","Mujer","Aragón","No","Más de 500.000 habitantes","Secundaria/ESO","Jubilado","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","8","No suele votar","Abstención",,"","Abstención",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Poco probable",,,,,,,,,,,"Feijóo","","Mayoría vota","Poco","Mantener",0.886845052242279,3.8676348209072
65,"+65","Mujer","Galicia","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Otro","Menos de 1000 euros","Católico no practicante","Castellano","5","Votó","Votó","PP","","PP",7,"PP","","PP","PP",,"","No marcado","No marcado","Nunca votaría","No marcado","Nunca votaría","No marcado",,,,,,"No marcado",,"No marcado","No marcado","Muy probable","Algo probable",,"Poco probable",,"Poco probable",,,,,,"Algo probable",,"Feijóo","","Mayoría vota","Poco","Federal",0.90089362859726,1.09593948722319
54,"45-54","Mujer","Principado de Asturias","Sí","Entre 100.000 y 500.000 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 1000 y 1999 euros","Otra","Castellano","0 Extr. izq.","Votó","Votó","Sumar","","Sumar",10,"Podemos","","Podemos","Podemos",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Muy probable",,,,,,,,,"Irene Montero","","Todos votan","Mucho","Mantener",0.9810351729393,0.388132758493876
74,"+65","Hombre","Castilla y León","Sí","Entre 50.000 y 99.999 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","10 Extr. der.","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Algo probable","Poco probable","Poco probable","Poco probable",,,,,,,,"Feijóo","","Todos votan","Mucho","Centralizado",0.979668915271759,0.412224989639849
66,"+65","Mujer","Comunidad Valenciana","Sí","Más de 500.000 habitantes","Secundaria/ESO","Jubilado","Otro","Entre 3000 y 5000 euros","Católico no practicante","Castellano","6","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,"Algo probable",,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Mantener",0.982544004917145,1.63258525646498
71,"+65","Hombre","Islas Canarias","No","Entre 2000 y 9.999 habitantes","Universitaria","Jubilado","Público","Entre 1000 y 1999 euros","Católico no practicante","Castellano","0 Extr. izq.","Votó","Votó","Sumar","","Sumar",10,"Podemos","","Podemos","Podemos",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,"Nunca votaría",,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Muy probable",,,,,,"Poco probable",,,"Irene Montero","","Todos votan","Mucho","Centralizado",0.980531990528107,0.69062621799795
69,"+65","Mujer","Castilla y León","Sí","Menos de 2000 habitantes","Secundaria/ESO","Trabajo doméstico","Otro","Menos de 1000 euros","Católico practicante","Castellano","7","Votó","Votó","PP","","PP",0,"No votaría","","No votaría","Abstención",,"","No marcado","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","Nunca votaría",,,,,,,,,,,,,,"Ninguno","","Mayoría vota","Poco","Centralizado",0.493009865283966,1.00911669413972
71,"+65","Hombre","Comunidad Valenciana","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Jubilado","Público","Entre 2000 y 2999 euros","Católico no practicante","Castellano","3","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Poco probable","Poco probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Bastante","Mantener",0.977943420410156,0.721342412958707
69,"+65","Mujer","Región de Murcia","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Jubilado","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","5","Votó","Votó","PP","","PP",10,"Otros","","Otros","PP","Ninguno","","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable",,,,,,,,,,,,"Ninguno","","Mayoría vota","Bastante","Mantener",0.919439136981964,0.45146277612092
